rank,eigenvalue,above_mp
1,2.87031301953732,TRUE
2,2.43524673310567,TRUE
3,1.83079888320686,TRUE
4,1.5613703319045,TRUE
5,1.31417305763682,TRUE
6,1.28120719079883,TRUE
7,1.1911609640751,FALSE
8,1.09928184826378,FALSE
9,1.01375720863831,FALSE
10,0.979795028155688,FALSE
11,0.948732646925916,FALSE
12,0.942203332327736,FALSE
13,0.909314641461405,FALSE
14,0.848624223506501,FALSE
15,0.798610688146426,FALSE
16,0.727181172282275,FALSE
17,0.646270969309271,FALSE
18,0.589088257215658,FALSE
19,0.569515561898759,FALSE
20,0.540277547304631,FALSE
21,0.502694149121773,FALSE
22,0.400388643091724,FALSE
23,0.38641510602576,FALSE
24,0.351119213293471,FALSE
25,0.26245958276581,FALSE
