date,n_assets,count_above_mp_raw,count_above_mp_ex_market,top_eig,second_eig,mp_edge
2015-12-22,24,4,3,3.92411762145597,2.70593580299962,1.71245149508646
2015-12-23,24,4,3,3.97308840277873,2.66196964934946,1.71245149508646
2015-12-24,24,4,3,3.98338196534358,2.65881902696902,1.71245149508646
2015-12-25,24,4,3,3.97076555713747,2.65528518791227,1.71245149508646
2015-12-28,24,4,3,3.95651936886758,2.66098977609428,1.71245149508646
2015-12-29,24,4,3,3.99216645302552,2.65855336612624,1.71245149508646
2015-12-30,24,4,3,3.98078193596176,2.66574834441424,1.71245149508646
2015-12-31,24,4,3,3.98780074396096,2.66465830206451,1.71245149508646
2016-01-01,24,4,3,3.99529381783643,2.66943745425564,1.71245149508646
2016-01-04,24,4,3,4.0672761574605,2.67161760285575,1.71245149508646
2016-01-05,24,3,2,4.11724980179226,2.69743730708994,1.71245149508646
2016-01-06,24,4,3,4.14813668102891,2.68712501264438,1.71245149508646
2016-01-07,24,3,2,4.22083432258625,2.70595928966956,1.71245149508646
2016-01-08,24,3,2,4.22780731941468,2.73420948089206,1.71245149508646
2016-01-11,24,3,2,4.21698640978088,2.77609903891292,1.71245149508646
2016-01-12,24,3,2,4.27854535778251,2.7553849099246,1.71245149508646
2016-01-13,24,3,2,4.25626871234163,2.77274801211714,1.71245149508646
2016-01-14,24,3,2,4.24540631405601,2.76512638596272,1.71245149508646
2016-01-15,24,3,2,4.25931953851964,2.78226011676631,1.71245149508646
2016-01-18,24,3,2,4.28705549197595,2.76277816930571,1.71245149508646
2016-01-19,24,3,2,4.30581641456653,2.760058044601,1.71245149508646
2016-01-20,24,3,2,4.37620924206958,2.74676277826364,1.71245149508646
2016-01-21,24,3,2,4.33728214441026,2.72388857259473,1.71245149508646
2016-01-22,24,3,2,4.44872912894864,2.72095869971883,1.71245149508646
2016-01-25,24,3,2,4.44564460448559,2.70921628021829,1.71245149508646
2016-01-26,24,3,2,4.46754887364722,2.73075404316354,1.71245149508646
2016-01-27,24,3,2,4.4627694472785,2.68397903284293,1.71245149508646
2016-01-28,24,3,2,4.47914211990699,2.65433959462302,1.71245149508646
2016-01-29,24,3,2,4.51202944855176,2.65821328673048,1.71245149508646
2016-02-01,24,3,2,4.48881212860373,2.64499542748729,1.71245149508646
2016-02-02,24,3,2,4.48748779166907,2.62200394694007,1.71245149508646
2016-02-03,24,3,2,4.43722583162154,2.65797116159535,1.71245149508646
2016-02-04,24,3,2,4.46181980364391,2.65079894016915,1.71245149508646
2016-02-05,24,3,2,4.46145704353295,2.64066160802851,1.71245149508646
2016-02-08,24,3,2,4.46058243658182,2.6239018799445,1.71245149508646
2016-02-09,24,3,2,4.45483100981245,2.62100996701365,1.71245149508646
2016-02-10,24,3,2,4.45758244312758,2.61970189536954,1.71245149508646
2016-02-11,24,3,2,4.49654595766932,2.61408756908993,1.71245149508646
2016-02-12,24,3,2,4.53901496290766,2.59887694736308,1.71245149508646
2016-02-15,24,3,2,4.54168107034377,2.61083007483296,1.71245149508646
2016-02-16,24,3,2,4.53740569196857,2.59607821489634,1.71245149508646
2016-02-17,24,3,2,4.56635168870326,2.58367215101726,1.71245149508646
2016-02-18,24,3,2,4.55642996576719,2.58914310647121,1.71245149508646
2016-02-19,24,3,2,4.56483935351431,2.60176489449923,1.71245149508646
2016-02-22,24,3,2,4.55850304008331,2.58691171063347,1.71245149508646
2016-02-23,24,3,2,4.57079902817833,2.58723832495701,1.71245149508646
2016-02-24,24,3,2,4.55830666858179,2.58148675451755,1.71245149508646
2016-02-25,24,3,2,4.53372992712533,2.5911245984205,1.71245149508646
2016-02-26,24,3,2,4.54211908796665,2.59314896069276,1.71245149508646
2016-02-29,24,3,2,4.54577426052665,2.60855763050793,1.71245149508646
2016-03-01,24,3,2,4.54159507355243,2.61005421156763,1.71245149508646
2016-03-02,24,3,2,4.54156036524541,2.62652176851232,1.71245149508646
2016-03-03,24,3,2,4.52351913930455,2.63005555286805,1.71245149508646
2016-03-04,24,3,2,4.51783936734303,2.65109563982338,1.71245149508646
2016-03-07,24,3,2,4.52335415382372,2.66319569851474,1.71245149508646
2016-03-08,24,3,2,4.51771891410458,2.65760369085638,1.71245149508646
2016-03-09,24,3,2,4.5277056473374,2.66458813315568,1.71245149508646
2016-03-10,24,3,2,4.51768571534498,2.67532864863038,1.71245149508646
2016-03-11,24,3,2,4.56936568751982,2.67599546177787,1.71245149508646
2016-03-14,24,3,2,4.57086916333305,2.68182242279997,1.71245149508646
2016-03-15,24,3,2,4.57961813594703,2.66753140928243,1.71245149508646
2016-03-16,24,3,2,4.59835809972588,2.6658813559823,1.71245149508646
2016-03-17,24,3,2,4.58688323204685,2.69792330080587,1.71245149508646
2016-03-18,24,3,2,4.59666677833919,2.65532544240488,1.71245149508646
2016-03-21,24,3,2,4.58634807687914,2.64398894336927,1.71245149508646
2016-03-22,24,3,2,4.57382651430639,2.64409955729571,1.71245149508646
2016-03-23,24,3,2,4.56541761244187,2.66673363966267,1.71245149508646
2016-03-24,24,3,2,4.57783227879742,2.66755207690428,1.71245149508646
