method,a,b,ab_sum,target_weight,loglik,delta_loglik,nll,converged
standard,0.00479689328630699,0.886831843292956,0.891628736579263,0.108371263420737,4616.26236318643,0,-4616.26236318643,TRUE
cleaned,0.00208833514433476,0.996825329619785,0.99891366476412,0.00108633523588009,4060.30451037886,-555.957852807572,-4060.30451037886,FALSE
