date,n_assets,count_above_mp_raw,count_above_mp_ex_market,top_eig,second_eig,third_eig,fourth_eig,mp_edge
2016-01-04,24,3,2,3.84175083279243,2.62723663574145,1.97494514409933,1.65890369902081,1.71245149508646
2016-01-05,24,3,2,3.86051777602505,2.60375684434953,1.99659481219248,1.65883857006877,1.71245149508646
2016-01-06,24,3,2,3.89344106538182,2.58555525804283,2.01513189637313,1.65992829666787,1.71245149508646
2016-01-07,24,3,2,3.93245715455191,2.60774157374261,2.01260335699635,1.63852840935112,1.71245149508646
2016-01-08,24,3,2,3.91548406290938,2.62241285143969,1.99787402543257,1.6467153726779,1.71245149508646
2016-01-11,24,3,2,3.91902200607408,2.68013930704968,1.99978928310022,1.64863686423002,1.71245149508646
2016-01-12,24,3,2,3.91578710604353,2.68026415320545,1.99367894706534,1.65007201816334,1.71245149508646
2016-01-13,24,3,2,3.91163392796629,2.69056141279166,1.9942155059141,1.66013537476904,1.71245149508646
2016-01-14,24,3,2,3.9057802660686,2.68658548894083,1.99215993704513,1.66929862196599,1.71245149508646
2016-01-15,24,3,2,3.94303547763522,2.69790699846433,1.98024518792365,1.63177001749653,1.71245149508646
2016-01-19,24,3,2,3.96811445560114,2.69774174212795,1.96006934938186,1.63070878125558,1.71245149508646
2016-01-20,24,3,2,4.03558012655919,2.68749863007809,1.97865412331717,1.62676742384719,1.71245149508646
2016-01-21,24,3,2,4.04274789111088,2.68588411639033,1.96898399049644,1.62072372529938,1.71245149508646
2016-01-22,24,3,2,4.09793388736381,2.65506993935226,1.9701376612395,1.62162198428256,1.71245149508646
2016-01-25,24,3,2,4.14645062327099,2.64581085938198,1.97084593226443,1.61809620504097,1.71245149508646
2016-01-26,24,3,2,4.16191009482746,2.64996757871554,1.97358949324902,1.6192892597185,1.71245149508646
2016-01-27,24,3,2,4.16888721425695,2.63844445162974,1.97001765388292,1.61977830346312,1.71245149508646
2016-01-28,24,3,2,4.13967786126213,2.65048613462739,1.97178575132765,1.64964763446195,1.71245149508646
2016-01-29,24,3,2,4.17827007094905,2.6361418511926,1.98016385849318,1.62173522766865,1.71245149508646
2016-02-01,24,3,2,4.18434262557145,2.63432413917585,1.98828478377,1.62731606215332,1.71245149508646
2016-02-02,24,3,2,4.18525246904427,2.62011054218647,1.98332264329406,1.62959159685282,1.71245149508646
2016-02-03,24,3,2,4.12956796402985,2.62698567504705,1.98057985971431,1.62945073239998,1.71245149508646
2016-02-04,24,3,2,4.17227964122273,2.62371604790409,1.96466137225933,1.63821484358723,1.71245149508646
2016-02-05,24,3,2,4.16533387438359,2.61078780745959,1.96179576597485,1.63564041572738,1.71245149508646
2016-02-08,24,3,2,4.16462891025142,2.61906403740877,1.97409459315073,1.61525550745052,1.71245149508646
2016-02-09,24,3,2,4.1651810961016,2.5917401107772,1.98024532202279,1.62061385332423,1.71245149508646
