ticker,model,ar,n,omega,alpha1,beta1,gamma1,skew,shape,persistence,loglik,LB10_z,LB10_z2,lr_stat,lr_pval,ar1_retry,n_winsorized
COCOA_NY,gjr_sstd,0,2863,1.62232334051644e-06,0.0412006162065103,0.9648649836527,-0.016233612636929,0.960651643669475,7.4078034696475,0.998070888592138,7131.52036628141,0.679984296327833,0.906491984177151,2.17330254427543,0.140424380840557,FALSE,2
COCOA_LDN,gjr_sstd,1,2863,3.01818289110037e-06,0.0438652752997893,0.940352503159112,0.0228417367597317,1.03116647361734,4.97294632213299,0.995793273372011,7540.10846232665,0.185590478552049,0.58949591040498,1.22090196186582,0.269183714256133,TRUE,3
COFFEE_ARA,gjr_sstd,0,2863,3.30068814338589e-06,0.0391306376652001,0.967782067237636,-0.0287752836801878,1.04295133049919,10.9194893675726,0.992320802013803,7055.5341749218,0.570764525153609,0.109643276684311,2.54662011883556,0.110530480855043,FALSE,0
COFFEE_ROB,gjr_sstd,0,2863,7.60757333011032e-07,0.0181183804644975,0.979597644940896,0.00049352365259578,1.02869216213959,5.70510182785721,0.997965677740781,7763.14506679105,0.88259908732009,0.658383906821158,1.34519773883403,0.246119412328166,FALSE,3
SUGAR,gjr_sstd,0,2863,3.1491641616826e-06,0.00739776361585568,0.975886208861579,0.0141674347292149,1.04148713974107,8.37478405583281,0.990471607021938,7511.74138431171,0.489629008132047,0.0111488810584681,2.25154863178977,0.133480760572065,FALSE,2
COTTON,gjr_sstd,0,2863,2.96547559373169e-06,0.0467465605274316,0.944480097812319,-0.0015060256937544,1.06141259551392,5.26305499867565,0.990454500842882,8022.28035822401,0.369137173196277,0.925411962767755,6.07260705407498,0.0137294168059569,FALSE,2
OJ,gjr_sstd,1,2863,1.29285365482007e-06,0.0325053513218423,0.967011020172537,-0.00105238429744957,0.949885691540463,9.24179889699472,0.998999663203021,6720.43643141917,0.649273735733811,0.887901192944501,3.65770444622831,0.0558104780182414,FALSE,1
CORN,gjr_sstd,0,2863,9.42065070623307e-06,0.0637211350537937,0.885867345884493,0.0202581009791413,0.982954509104415,5.37997590075301,0.95964342533194,8164.36886493451,0.227766007577384,0.173155209660782,0.388110483789205,0.533294287468214,FALSE,4
SOYB,gjr_sstd,0,2863,3.36120422627921e-06,0.0654158101410202,0.923496104516491,-0.0207790015177445,0.99662913460506,6.91048768599516,0.978535922952836,8688.01280334767,0.455290410402407,0.404463192855504,0.0170637886621989,0.896069245672216,FALSE,3
WHEAT,gjr_sstd,0,2863,1.16747135110507e-05,0.0699965613858848,0.900844403348067,-0.00592005125478319,1.19225497735847,13.0248289293473,0.967720009375512,7428.74564720504,0.0118711338613002,0.187618328553235,39.5553193903925,3.18896599218523e-10,FALSE,0
PALMOIL,gjr_sstd,0,2863,3.55837109718616e-06,0.0490856091613366,0.935240144192895,0.0105227827579987,0.998253547895081,5.41197814205478,0.989583238710995,7850.06118688467,0.0198977919204707,0.840808074388318,0.00457893358725414,0.946050068118588,FALSE,3
WTI,gjr_sstd,0,2861,1.80793545777978e-05,0.076561067352271,0.871819361416357,0.0480069769864103,0.854489158979295,6.92554459953205,0.971000846070314,6775.92667388709,0.631381592695849,0.596937268219509,35.2282512308357,2.93238630015932e-09,FALSE,3
